episode_index,joint_torque_mean_1,joint_torque_mean_2,joint_torque_mean_3,joint_torque_mean_4,joint_torque_mean_5,joint_torque_mean_6,joint_torque_mean_7,joint_force_mean_1,joint_force_mean_2,joint_force_mean_3,joint_force_mean_4,joint_force_mean_5,joint_force_mean_6,joint_force_mean_7
127,0.3652352,13.816853,0.5383619,11.518604,0.06248632,0.9891638,-0.16983213,0.36868778,-0.7206697,0.5415672,-0.18254344,0.13616784,-0.12607433,-0.18767439
128,0.2983607,14.449596,0.46111158,11.76026,0.09030961,0.9636409,-0.18715918,0.29800102,-0.7188127,0.4814217,-0.18926981,0.1109032,-0.111641586,-0.1881625
129,0.26908112,14.036615,0.43747312,11.516446,0.06949091,0.94481164,-0.13084339,0.27084336,-0.6618589,0.45101488,-0.15877557,0.111664124,-0.15809257,-0.1541754
130,0.23297733,13.898795,0.35791174,11.621453,0.05273846,0.9951632,-0.11756831,0.23014587,-0.7346955,0.36089784,-0.17049918,0.12181883,-0.10580785,-0.14822616
131,0.338325,14.230194,0.52839077,11.664899,0.08248898,1.0123641,-0.19954,0.3345872,-0.8011496,0.53340167,-0.10748076,0.13036416,-0.10068967,-0.22303982
132,0.32837993,14.177858,0.48561618,11.720545,0.107886985,0.98954725,-0.19848184,0.3361421,-0.7128237,0.5089454,-0.10556011,0.13223809,-0.11163836,-0.20186225
133,0.337438,14.430288,0.48101392,11.760113,0.08989678,1.0466274,-0.20061545,0.3360076,-0.55675966,0.48717806,0.047541823,0.14179215,-0.08578562,-0.21298729
134,0.21916433,14.011246,0.33727208,11.621562,0.06753311,0.98252517,-0.17109123,0.2234115,-0.739224,0.3837741,-0.1345857,0.08159924,-0.10255399,-0.19439465
135,0.36561847,14.008649,0.4976731,11.368712,0.097817115,0.9777062,-0.19193058,0.365617,-0.7811888,0.52823347,-0.15219374,0.13674816,-0.1409349,-0.19703291
136,0.31515083,14.354032,0.42388505,11.699796,0.08062524,1.0295984,-0.13509211,0.32224408,-0.7752916,0.4537493,-0.19700119,0.12170065,-0.05656657,-0.14961962
137,0.19522856,14.275781,0.3647577,11.46996,0.035893008,0.9890943,-0.11746464,0.19658291,-0.7668292,0.3908954,-0.14206864,0.0886127,-0.11028039,-0.1645381
138,0.38186148,14.492137,0.51250786,11.703078,0.12078945,0.9619538,-0.15014014,0.3764427,-0.67121714,0.5529481,-0.085461184,0.17396224,-0.1643792,-0.17673314
139,0.15302972,14.214969,0.3287543,11.609735,0.034282524,0.9183739,-0.16045912,0.15304232,-0.7871809,0.328653,-0.11278618,0.11898901,-0.15701361,-0.21805464
140,0.2668325,14.166801,0.38997966,11.4272995,0.064878106,0.97536176,-0.15174536,0.26549125,-0.9434032,0.4064421,-0.20772736,0.10618635,-0.12517637,-0.16857134
141,0.2781055,14.447791,0.4259074,11.515517,0.038538337,0.98399705,-0.12833004,0.2770651,-0.727908,0.44453254,-0.1860162,0.097430944,-0.11611365,-0.1609385
142,0.37065795,14.154031,0.5459536,11.566652,0.1135134,0.99523336,-0.16400363,0.37055272,-0.7586918,0.55376786,-0.1771719,0.15386379,-0.10554753,-0.18091388
143,0.3910857,14.173183,0.5361748,11.658968,0.09239483,1.0059627,-0.1867077,0.39755613,-0.6118935,0.5522375,-0.13522632,0.13061118,-0.092138,-0.19927813
144,0.3097452,14.243484,0.47876558,11.700213,0.07630156,0.9566064,-0.1637675,0.3130443,-0.7258131,0.50504065,-0.19201836,0.11878753,-0.115896754,-0.19853832
145,0.21538119,14.154846,0.35940975,11.708038,0.08590904,1.0042499,-0.12762877,0.21375482,-0.6829399,0.370929,-0.08412564,0.124431476,-0.09930003,-0.15487206
146,0.33657894,14.194241,0.5042345,11.477857,0.09363922,0.95714355,-0.17213234,0.3332557,-0.71695787,0.5169597,-0.17579438,0.1364301,-0.14410245,-0.1716223
147,0.33225688,14.186449,0.47949424,11.533667,0.056217603,0.9699518,-0.16627395,0.33201262,-0.6542857,0.5052214,-0.26559338,0.08299322,-0.13696854,-0.18167064
148,0.46035993,13.997777,0.6222897,11.467698,0.08906537,0.9914677,-0.19061449,0.45602536,-0.83250135,0.628257,-0.2361053,0.13020094,-0.114493825,-0.207637
